Name,Section,Availability,Mass per metre   kg/m,Depth of section  h mm,Width of section  b mm,Thickness Web tw mm,Thickness Flange tf mm,Root radius  r mm,Depth between fillets  d mm,Ratios for local buckling Web cw / tw ,Ratios for local buckling Flange cf / tf ,Notch End clearance C mm,Notch Notch N mm,Notch  n mm,Surface area Per metre  m2,Surface area Per tonne  m2,Second moment of area Axis y-y  cm4,Second moment of area Axis z-z  cm4,Radius of gyration Axis y-y  cm,Radius of gyration Axis z-z  cm,Elastic modulus Axis y-y  cm3,Elastic modulus Axis z-z  cm3,Plastic modulus Axis y-y  cm3,Plastic modulus Axis z-z  cm3,Buckling parameter  U ,Torsional index  X ,Warping constant  Iw dm6,Torsional constant  IT cm4,Area of section  A cm2
UB1016x305x584,1016x305x584UB,Standard,584.0,1056.0,314.0,36.0,64.0,30.0,868.1,24.1,1.70,20.0,150.0,94.0,3.690,6.3,1246000.0,33400.0,40.90,6.70,23600.0,2130.0,28000.0,3480.0,0.869,18.0,81.2,7150.00,744.0
UB1016x305x494,1016x305x494UB,Standard,494.0,1036.0,309.0,31.0,54.0,30.0,868.1,28.0,2.02,18.0,150.0,84.0,3.240,6.6,1028000.0,26800.0,40.40,6.53,19800.0,1740.0,23400.0,2820.0,0.867,20.9,64,4400.00,629.0
UB1016x305x438,1016x305x438UB,Standard,438.0,1026.0,305.0,26.9,49.0,30.0,868.1,32.3,2.23,15.0,150.0,80.0,3.170,7.2,910000.0,23400.0,40.40,6.49,17700.0,1540.0,20800.0,2470.0,0.869,23.1,56,3190.00,556.0
UB1016x305x415,1016x305x415UB,Standard,415.0,1020.0,304.0,26.0,46.0,30.0,868.1,33.4,2.37,15.0,150.0,76.0,3.170,7.6,853000.0,21700.0,40.20,6.41,16700.0,1430.0,19600.0,2300.0,0.868,24.3,51.1,2700.00,529.0
UB1016x305x393,1016x305x393UB,Standard,392.7,1015.9,303.0,24.4,43.9,30.0,868.1,35.6,2.49,14.0,150.0,74.0,3.140,8.0,808000.0,20500.0,40.20,6.40,15900.0,1350.0,18500.0,2170.0,0.867,25.5,48.4,2330.00,500.0
UB1016x305x350,1016x305x350UB,Standard,350.0,1008.0,302.0,21.1,40.0,30.0,868.1,41.1,2.76,13.0,152.0,70.0,3.130,8.9,723000.0,18500.0,40.30,6.44,14300.0,1220.0,16600.0,1940.0,0.872,27.8,43.3,1720.00,445.0
UB1016x305x314,1016x305x314UB,Standard,314.3,999.9,300.0,19.1,35.9,30.0,868.1,45.5,3.08,12.0,152.0,66.0,3.110,9.9,644000.0,16200.0,40.10,6.37,12900.0,1080.0,14800.0,1710.0,0.87,30.7,37.7,1260.00,400.0
UB1016x305x272,1016x305x272UB,Standard,272.3,990.1,300.0,16.5,31.0,30.0,868.1,52.6,3.60,10.0,152.0,62.0,3.100,11.4,554000.0,14000.0,40.00,6.35,11200.0,934.0,12800.0,1470.0,0.871,35.0,32.2,835.00,347.0
UB1016x305x249,1016x305x249UB,Standard,248.7,980.1,300.0,16.5,26.0,30.0,868.1,52.6,4.30,10.0,152.0,56.0,3.080,12.4,481000.0,11800.0,39.00,6.09,9820.0,784.0,11300.0,1240.0,0.86,39.8,26.8,582.00,317.0
UB1016x305x222,1016x305x222UB,Standard,222.0,970.3,300.0,16.0,21.1,30.0,868.1,54.3,5.31,10.0,152.0,52.0,3.060,13.8,408000.0,9550.0,38.00,5.81,8410.0,636.0,9810.0,1020.0,0.85,45.7,21.5,390.00,283.0
